product_id,product_name,meat_type,product_type,who_eat,manufacturer
178196,"Изделие колбасное из мяса птицы ГАЛЕРЕЯ ВКУСА Колбаски ""Алфавитка для детей. Палочки-выручалочки""  д/питания детей школьного возраста охл. высший сорт п/к (пакет,ГМС) 90г",птица,колбасы,дети,галерея вкуса
178653,"Консервы из мяса птицы ГАЛЕРЕЯ ВКУСА ""Французский паштет с фуа-гра"" паштетные мясные печеночный пастер. лоток 146г",птица,паштеты,люди,галерея вкуса
178654,"Консервы из мяса птицы ГАЛЕРЕЯ ВКУСА ""Французский паштет с яблоком и инжиром"" паштетные мясные печеночный пастер. лоток 146г",птица,паштеты,люди,галерея вкуса
178900,"Продукты разделки и обвалки мяса птицы ГАЛЕРЕЯ ВКУСА Большое филе тушки уток ""Стейк из утки зернового откорма""  (охл.) (вак. скин-уп.) 380г",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
179631,"П/ф нат. из мяса пт. для пит. детей дошк. и шк. возр. мясок. Филе грудной части цыпленка ФЕРМА (охл.) (лоток, мод. газ. ср.) 600г",птица,полуфабрикаты и субпродукты,дети,ферма
180047,"Сосиски из мяса птицы ГАЛЕРЕЯ ВКУСА ""Мортаделлия"" охл. высший сорт (пакет,мод.газ.ср.) 320г",птица,сосиски,люди,галерея вкуса
180048,"Изделие колбасное из мяса птицы ГАЛЕРЕЯ ВКУСА Колбаска ""Фуэт"" охл. сорт Экстра с/в пакет с перфорацией 180г",птица,колбасы,люди,галерея вкуса
182106,"Прод. разд.и обв. мяса птицы. Плечевая часть крыла тушки ц/б ФЕРМА (охл.) (лоток, мод. газ. ср.) 600г",бройлер,полуфабрикаты и субпродукты,люди,ферма
183436,"Колбаса из мяса птицы ГАЛЕРЕЯ ВКУСА ""Мортаделлия"" охл. в/с вар. (пакет, ГМС) 420г",птица,колбасы,люди,галерея вкуса
184902,"Колбаса из мяса птицы ГАЛЕРЕЯ ВКУСА Колбаса ""Мортаделлия"" охл. в/с вар. (пакет, ГМС) 620г",птица,колбасы,люди,галерея вкуса
